"id","time","topic","type","indicator","value","frequency","unit"
"BE35","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","max","2.36","monthly","mm"
"BE35","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.84","monthly","mm"
"BE25","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","min","0.63","monthly","mm"
"BE25","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","max","1.03","monthly","mm"
"BE25","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","mean","0.80","monthly","mm"
"BE31","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","min","1.27","monthly","mm"
"BE31","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","max","1.50","monthly","mm"
"BE31","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.40","monthly","mm"
"BE24","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","min","1.06","monthly","mm"
"BE24","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","max","1.47","monthly","mm"
"BE24","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.29","monthly","mm"
"BE32","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","min","0.98","monthly","mm"
"BE32","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","max","1.78","monthly","mm"
"BE32","2015-04-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.31","monthly","mm"
"BE10","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","min","2.18","monthly","mm"
"BE10","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","max","2.18","monthly","mm"
"BE10","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.18","monthly","mm"
"BE21","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","min","1.80","monthly","mm"
"BE21","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","max","2.09","monthly","mm"
"BE21","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.94","monthly","mm"
"BE22","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","min","1.60","monthly","mm"
"BE22","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","max","1.99","monthly","mm"
"BE22","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.78","monthly","mm"
"BE23","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","min","2.00","monthly","mm"
"BE23","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","max","2.11","monthly","mm"
"BE23","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.06","monthly","mm"
"BE33","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","min","1.56","monthly","mm"
"BE33","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","max","2.09","monthly","mm"
"BE33","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.73","monthly","mm"
"BE34","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","min","1.62","monthly","mm"
"BE34","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","max","2.16","monthly","mm"
"BE34","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.87","monthly","mm"
"BE35","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","min","1.65","monthly","mm"
"BE35","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","max","2.24","monthly","mm"
"BE35","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.95","monthly","mm"
"BE25","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","min","1.83","monthly","mm"
"BE25","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","max","2.44","monthly","mm"
"BE25","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.06","monthly","mm"
"BE31","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","min","2.17","monthly","mm"
"BE31","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","max","2.23","monthly","mm"
"BE31","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.20","monthly","mm"
"BE24","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","min","1.83","monthly","mm"
"BE24","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","max","2.21","monthly","mm"
"BE24","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.09","monthly","mm"
"BE32","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","min","2.02","monthly","mm"
"BE32","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","max","2.32","monthly","mm"
"BE32","2015-05-01","ERA5 Precipitation Monthy 10km","numerical","mean","2.13","monthly","mm"
"BE10","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","min","1.37","monthly","mm"
"BE10","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","max","1.37","monthly","mm"
"BE10","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","mean","1.37","monthly","mm"
"BE21","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","min","1.37","monthly","mm"
"BE21","2015-06-01","ERA5 Precipitation Monthy 10km","numerical","max","1.63","monthly","mm"
