id,time,topic,type,indicator,value,frequency,unit
DE402,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-4.35,monthly,°C
DE402,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-2.07,monthly,°C
DE402,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-3.15,monthly,°C
DE402,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-3.21,monthly,°C
DE403,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-4.93,monthly,°C
DE403,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-3.39,monthly,°C
DE403,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-4.08,monthly,°C
DE403,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-4.13,monthly,°C
DE404,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-5.33,monthly,°C
DE404,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-4.05,monthly,°C
DE404,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-4.70,monthly,°C
DE404,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-4.73,monthly,°C
DE405,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-6.87,monthly,°C
DE405,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-1.79,monthly,°C
DE405,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-5.08,monthly,°C
DE405,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-5.39,monthly,°C
DE406,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-5.31,monthly,°C
DE406,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-1.57,monthly,°C
DE406,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-3.60,monthly,°C
DE406,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-3.65,monthly,°C
DE407,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-4.15,monthly,°C
DE407,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-0.49,monthly,°C
DE407,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-2.28,monthly,°C
DE407,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-2.23,monthly,°C
DE408,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-4.73,monthly,°C
DE408,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-1.07,monthly,°C
DE408,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-2.28,monthly,°C
DE408,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-2.27,monthly,°C
DE733,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-9.61,monthly,°C
DE733,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-4.13,monthly,°C
DE733,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-6.49,monthly,°C
DE733,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-6.63,monthly,°C
DE734,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-11.55,monthly,°C
DE734,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-4.85,monthly,°C
DE734,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-8.24,monthly,°C
DE734,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,median,-8.29,monthly,°C
DE735,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,min,-7.89,monthly,°C
DE735,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,max,-3.85,monthly,°C
DE735,2021-01-01,MODIS LST Daytime Monthly 5km,numerical,mean,-6.00,monthly,°C
